object_name,filename,object_type,redshift,matched_source,avg_score,ref_count,papers_used,literature_summary,why_notable,likely_visual_reason
2MASS J03285101+3118184,4001302773713,Or*,,SIMBAD,0.0,67,2025ApJS..276...22Y;2025AJ....169..155W;2025A&A...699A.145D;2025A&A...704A..36M;2024A&A...689A.267M;2023AJ....165...51R;2023ApJS..265...12Q;2023ApJS..265...12Q,"2MASS J03285101+3118184 is identified as a young stellar object (YSO). The provided literature focuses on broad surveys of YSO populations, accretion rates, and kinematics within the solar neighborhood, rather than specific, individual studies of this particular object. It is typical of the low-mass, pre-main-sequence stars studied in the context of star formation and protoplanetary disk evolution.",There is no specific literature indicating that this object is scientifically notable or unusual; it appears to be a standard member of the large populations of young stellar objects identified in recent Gaia and spectroscopic surveys.,The literature provides no information regarding the specific visual appearance of this object in Hubble imagery.
LEDA  166649,4000923602698,AGN,,SIMBAD,0.0,65,2026A&A...705A..59R;2025ApJ...988...17R;2025ApJ...988..185G;2024MNRAS.527.2963L;2024A&A...686A..48N;2023A&A...669A..87D;2023ApJ...943..168M;2023A&A...673A..13M,"The provided literature consists of broad surveys of active galactic nuclei (AGN), luminous infrared galaxies (LIRGs), and ultraluminous infrared galaxies (ULIRGs). None of the provided abstracts contain specific information or observations regarding LEDA 166649.","The provided literature does not contain specific information about this object, so it is not possible to determine why it is scientifically notable based on these texts.",The literature gives no clue to this object's visual appearance.
ESO  77-14,4000720423480,IG,,SIMBAD,44.0,59,2025ApJ...981..194L;2025ApJ...991..166Z;2025MNRAS.543.2463M;2022A&A...664A.158R;2021ApJS..257...35C;2020MNRAS.498.4790K;2019ApJ...870..104S;2018A&A...617A.130I,"ESO 77-14 is identified as a source within the IRAS Revised Bright Galaxy Sample (RBGS), a collection of dusty, infrared-luminous galaxies. Literature concerning this sample generally characterizes these objects as luminous infrared galaxies (LIRGs) or interacting/merging systems that exhibit high star formation rates. Studies of this population often focus on the interstellar medium properties, the infrared-radio correlation, and the evolutionary transition between starburst-dominated phases and active galactic nuclei (AGN) activity.","ESO 77-14 is scientifically notable as part of the IRAS Revised Bright Galaxy Sample, which serves as a critical laboratory for studying the physics of galaxy mergers, the triggering of starbursts, and the relationship between infrared luminosity and radio continuum emission.","Given its classification as an interacting galaxy (IG) and its inclusion in studies of merger sequences, the object likely exhibits a disturbed morphology, such as tidal tails, bridges, or a chaotic, multi-nucleated appearance characteristic of merging systems."
SLACS SDSS J1205+4910,4001415925883,gLS,,SIMBAD,50.0,56,2025RAA....25f5015Y;2024MNRAS.527.4183Z;2024MNRAS.52710480N;2024MNRAS.532.2441H;2024MNRAS.534.1077C;2023MNRAS.521.6005E;2022MNRAS.517.3275E;2021MNRAS.504.1340G,"SLACS SDSS J1205+4910 is identified as a member of the Sloan Lens ACS (SLACS) sample, a significant collection of galaxy-galaxy strong gravitational lenses observed with the Hubble Space Telescope. The provided literature focuses on the SLACS sample as a whole, utilizing it for statistical studies on dark matter subhalo detection, the mass density profiles of early-type galaxies, and the development of automated lens modeling techniques. Consequently, the available abstracts do not contain specific information or unique scientific findings pertaining to this individual object.","It is scientifically notable as part of the SLACS sample, which serves as a critical benchmark for testing dark matter models and understanding the mass distribution of early-type galaxies through strong gravitational lensing.","While the literature does not describe this specific object's appearance, as a strong lens, it likely features a foreground elliptical galaxy distorting a background source into a visible Einstein ring, arc, or multiple images."
NGC  6791  3003,4001449138395,RG*,,SIMBAD,0.0,54,2024AJ....167..208W;2023ApJS..266....4L;2023A&A...677A..21K;2022AJ....163..152S;2022ApJ...926..154S;2022ApJS..259...35A;2022ApJ...929...29G;2022AJ....163..229S,"NGC 6791 3003 is an individual star identified as a red giant, frequently studied within the context of large-scale galactic surveys like APOGEE and Kepler. It serves as a data point in broader investigations concerning stellar evolution, asteroseismology, and chemical abundance calibrations (such as [C/N]-age relationships). Research involving this object typically utilizes it as part of a larger sample to refine models of the Milky Way's chemical and structural history.","This object is notable primarily as a constituent of the well-studied, metal-rich open cluster NGC 6791, which is a key benchmark for testing stellar evolution models and galactic chemical enrichment.",The literature provides no specific information regarding the visual appearance of this individual star in a Hubble image; it is likely indistinguishable from other point-source stars in such fields.
ESO 320-14,4000807291374,AG?,,SIMBAD,0.0,49,2026ApJ..1005L..44L;2025A&A...695A.226T;2025AJ....169..247F;2025A&A...698A.208L;2023A&A...670A..92M;2023MNRAS.518.5893K;2021MNRAS.507.3246H;2020MNRAS.491.2506D,"The provided literature does not contain specific information regarding ESO 320-14. The papers discuss general studies of nearby dwarf galaxies, including their stellar metallicity gradients, gas-phase metallicity, baryonic feedback, and nucleation fractions, as well as broader surveys of stellar populations and machine learning applications in astronomy. ESO 320-14 is not mentioned in any of the provided abstracts.",There is no information in the provided literature to suggest that this object is scientifically notable.,The literature provides no information regarding the visual appearance of this object.
IC 2810B,4001075509423,rG,,SIMBAD,34.0,46,2025ApJ...981..194L;2025ApJ...983..178S;2024A&A...686A.223P;2023MNRAS.519.5149D;2023ApJS..268...17K;2023ApJS..269....3M;2022ApJS..259...37S;2020ApJ...892...18K,"The provided literature does not contain specific information or studies regarding IC 2810B. The papers discuss broad astronomical topics such as quasar evolution, circumgalactic medium anisotropies, X-ray emission in galaxies, dual AGN, and galaxy catalogs, but none of these excerpts mention this specific object.",There is no information in the provided literature to suggest why this object is scientifically notable.,The literature provides no clue to the visual appearance of this object.
Bol  42,4000771725830,GlC,,SIMBAD,0.0,46,2026A&A...709A.218M;2025AJ....169..174C;2021A&A...645A.115W;2019ApJ...879...69T;2016ApJ...824...42C;2016AJ....152...45C;2015AJ....149...56M;2015RAA....15.1392C,"Bol 42 is a globular cluster located in the Andromeda Galaxy (M31), cataloged as part of the Bologna catalog of M31 globular clusters. It has been included in various spectroscopic and photometric surveys of M31's star cluster system, which aim to characterize the metallicity, age, and kinematics of the galaxy's halo and disk populations. Studies involving Bol 42 typically utilize it as a data point to understand the formation history and chemical evolution of the M31 globular cluster system.","It is notable primarily as a confirmed member of the extensive globular cluster system of M31, serving as a tracer for the galaxy's structural and chemical evolution.","The literature does not provide specific details on the visual appearance of Bol 42, but as a globular cluster, it likely appears as a compact, dense, and roughly spherical grouping of stars in high-resolution imaging."
ESO  60-16,4000736487611,G,,SIMBAD,33.0,45,2025ApJ...981..194L;2025ApJ...991..166Z;2022A&A...664A.158R;2021MNRAS.506.5935R;2021ApJS..257...35C;2018A&A...617A.130I;2018Natur.563..214K;2018AJ....156..295P,"ESO 60-16 is identified as a galaxy within the IRAS Revised Bright Galaxy Sample (RBGS), a collection of dusty, star-forming galaxies. It is frequently studied in the context of the Great Observatories All-sky LIRG Survey (GOALS), which investigates the properties of Luminous Infrared Galaxies (LIRGs). Research on this population focuses on the interplay between star formation, active galactic nuclei (AGN) activity, and the merger-driven evolution of galaxies, particularly regarding how gas and dust obscure central black holes.","It is notable as a member of the RBGS and GOALS samples, which are critical for understanding the late stages of galaxy mergers and the mechanisms that fuel supermassive black holes in dusty, infrared-luminous environments.","The literature does not provide specific details on the visual appearance of ESO 60-16, but as a LIRG/merger, it likely exhibits complex, disturbed morphology, such as tidal tails or multiple nuclei, which are characteristic of this class of objects."
Bol 180,4001209438435,GlC,,SIMBAD,0.0,44,2025AJ....169..174C;2022ApJS..259...35A;2021A&A...645A.115W;2021AJ....161..167A;2019ApJ...879...69T;2016ApJ...824...42C;2016AJ....152...45C;2015AJ....149...56M,"Bol 180 is a globular cluster located in the Andromeda Galaxy (M31). It is frequently included in large-scale spectroscopic and photometric surveys of M31's star cluster system, such as those conducted by LAMOST, which aim to determine the ages, metallicities, and masses of these clusters to better understand the formation and evolution of M31. The literature treats it as a data point within these broader catalogs rather than the subject of an individual, dedicated study.","Bol 180 is notable primarily as a constituent member of the M31 globular cluster system, which serves as a critical laboratory for studying the chemodynamical history and assembly of the Andromeda galaxy.","The literature does not provide specific details regarding the visual appearance of Bol 180 in Hubble imagery; it is likely identified in such images as a compact, point-like or slightly extended source characteristic of a globular cluster."
NGC  6090E,4001151364346,AGN,,SIMBAD,30.666666666666668,43,2024A&A...682A.174M;2023A&A...669A..87D;2023ApJS..266...15M;2022ApJ...935..170A;2022A&A...666A.186D;2021ApJ...914..121A;2021A&A...655A..17S;2020ApJ...890L..12D,"The provided abstracts do not contain specific information regarding the object NGC 6090E. While the literature discusses general topics such as Markarian galaxies, compact obscured nuclei, Lyα emission in star-forming galaxies, and supermassive black hole binaries, none of these excerpts mention this specific object. Consequently, there is no information available in the provided text to synthesize a summary of its properties or scientific context.",The provided literature does not contain information on why this specific object is notable.,The provided literature gives no clue to the visual appearance of this object.
Bol 298,4001163931268,GlC,,SIMBAD,0.0,43,2023MNRAS.518.5778L;2019ApJ...879...69T;2018AstBu..73..318S;2016ApJ...824...42C;2016AJ....152...45C;2016AJ....152..208F;2015RAA....15.1392C;2012AJ....143..132W,"Bol 298, also known as MGC6, is a globular cluster located in the vicinity of the Andromeda Galaxy (M31). It has been studied using medium-resolution integrated-light spectroscopy to determine its fundamental stellar population parameters, including age, metallicity, helium content, and detailed chemical abundances. These analyses are part of broader efforts to compare the globular cluster systems of M31 and the Milky Way to better understand galactic formation and evolution.",It is scientifically notable as a target for detailed chemical abundance studies that help characterize the M31 globular cluster system and provide comparative data against Galactic globular clusters.,"The provided literature does not describe the specific visual appearance of this object, which is a standard globular cluster."
[VV2006] J095917.2+015019,4000982309764,QSO,,SIMBAD,12.0,41,2023ApJS..268...34D;2023ApJS..268...34D;2022ApJS..258...11W;2022ApJS..258...11W;2022ApJ...925...34C;2022ApJ...925...34C;2022A&A...664A.117D;2020ApJ...888...78S,"The object [VV2006] J095917.2+015019 is identified as a QSO within the COSMOS field. It is included in large-scale astronomical catalogs, such as COSMOS2020 and COSMOS-DASH, which characterize the photometric and structural properties of galaxies and AGN across wide fields. The provided literature does not contain specific, individual studies for this object, as it is treated as one of many sources in large statistical samples used to study galaxy evolution.","This object is notable as a representative member of the COSMOS survey datasets, which are critical for studying the co-evolution of supermassive black holes and their host galaxies. It is not individually highlighted as an anomaly or a specific target of interest in the provided abstracts.","The literature provides no specific information regarding the visual appearance of this object. As a QSO, it likely appears as a point-like, high-luminosity source, which is a common feature that often attracts attention in image-scoring models."
ACS-GC 20101989,4000859157713,rG,,SIMBAD,0.0,41,2024A&A...689A.327W;2023A&A...673A..67G;2022ApJ...925...34C;2022ApJ...925...34C;2022A&A...664A.117D;2021ApJ...913..103D;2021ApJS..256...44V;2021ApJ...923...11V,"ACS-GC 20101989 is an object identified within the COSMOS field, appearing in large-scale structural and spectroscopic catalogs such as the COSMOS-DASH survey and the LEGA-C survey. These surveys utilize Hubble Space Telescope imaging to measure structural parameters like Sérsic indices and sizes for thousands of galaxies, or to provide structural priors for stellar dynamical modeling. The literature does not discuss ACS-GC 20101989 as an individual target of study, but rather as a data point within these broader statistical samples of galaxies at intermediate redshifts.","The object is not individually notable in the provided literature; it is part of a large statistical ensemble used to study galaxy evolution, structural scaling relations, and the fundamental plane of galaxies.","The literature provides no specific information regarding the visual appearance of this object, as it is only mentioned as a catalog entry within large survey datasets."
COSMOS2015 483580,4001181021246,G,,SIMBAD,44.0,38,2024ApJ...961..118K;2024ApJ...974..305W;2022ApJ...925...34C;2022ApJ...925...34C;2022ApJS..259...37S;2022ApJ...925...34C;2021ApJ...913..103D;2021ApJS..256...44V,"COSMOS2015 483580 is a galaxy identified within the COSMOS field, frequently included in large-scale statistical surveys such as LEGA-C and COSMOS-DASH. These studies utilize the object as part of a broader sample to analyze galaxy evolution, structural properties, and star formation histories at intermediate redshifts (z ~ 0.6–1.0). There is no literature available that discusses this specific object as an individual target of interest; it is treated strictly as a data point within massive galaxy population studies.","This object is not individually notable in the provided literature; it is significant only as a member of large, K-band selected galaxy catalogs used to benchmark galaxy evolution models.","The provided literature does not contain specific information regarding the visual appearance of this object, so it is not possible to speculate on why it might have caught an image-scoring model's attention."
[NLA2015] aegis 544,4000771105456,AGN,,SIMBAD,37.0,37,2026AJ....171..191M;2025MNRAS.544.4505L;2025ApJ...980..230T;2025ApJS..281...49T;2024MNRAS.533.3937M;2023ApJ...944...78N;2022A&A...667A..30V;2022ApJ...928..169F,"The provided literature does not contain specific information regarding the object '[NLA2015] aegis 544'. The search results focus on unrelated topics such as JWST observations of brown dwarfs, AGN torus evolution at cosmic noon, and star formation efficiency in distant galaxies. Consequently, there is no available literature to synthesize regarding this specific object.","The literature provided does not mention this object, so its scientific notability cannot be determined from the given sources.",The literature gives no clue to the visual appearance of this object.
Bol 141,4001099505161,GlC,,SIMBAD,0.0,37,2025AJ....169..174C;2022ApJS..259...35A;2021A&A...645A.115W;2019ApJ...879...69T;2016ApJ...824...42C;2016AJ....152...45C;2015AJ....149...56M;2015RAA....15.1392C,"Bol 141 is a globular cluster located in the Andromeda Galaxy (M31). It is frequently included in large-scale spectroscopic and photometric surveys of M31's star cluster system, such as those conducted by LAMOST, which aim to characterize the ages, metallicities, and masses of these objects to better understand the formation and evolution of the M31 galaxy. Studies involving Bol 141 typically treat it as a data point within these broader catalogs rather than the subject of individual, dedicated research.","Bol 141 is notable primarily as a confirmed member of the extensive globular cluster system of M31, serving as a tracer for the galaxy's structural and chemical evolution.","The literature does not provide specific details regarding the unique visual appearance of Bol 141; it is likely identified in images simply as a compact, point-like or slightly extended stellar concentration typical of globular clusters in M31."
Cl* Westerlund    1      W      28,4001450293999,s*b,,SIMBAD,0.0,35,2026A&A...708A.209C;2024A&A...682A..49G;2024A&A...682A..49G;2023A&A...674A..15L;2022A&A...664A.146N;2022MNRAS.516.1289N;2022A&A...664A.146N;2022MNRAS.516.1289N,"Westerlund 1 (Wd1) is one of the most massive and youngest star clusters in the Milky Way, serving as a critical laboratory for studying high-mass stellar evolution. It contains a dense population of massive stars, including numerous OB stars and red supergiants, and has been the subject of extensive spectroscopic and X-ray surveys to determine its distance, age, and star-formation history. Recent studies have utilized Gaia data and multi-epoch spectroscopy to refine its distance to approximately 4.0-4.2 kpc and investigate its complex, potentially non-monolithic star-formation history.","Westerlund 1 is scientifically notable for being the most massive young stellar cluster in the Milky Way, providing a unique environment to observe the feedback and gravitational interactions of massive stars in a dense, starburst-like setting.","The literature does not provide specific details on the visual appearance of the individual star 'W 28' in a Hubble image, though the cluster itself is a dense, crowded field of massive stars often obscured by high foreground extinction."
[DAC2007] C6,4001272716059,Cl*,,SIMBAD,8.0,34,2017MNRAS.465.3461Z;2017MNRAS.465.3461Z;2017MNRAS.465.3461Z;2011ApJ...731...92R;2011ApJ...731...92R;2011ApJ...731...92R;2011ApJ...731...92R;2011ApJ...731...92R,"The provided literature does not contain specific information regarding the object '[DAC2007] C6'. The abstracts provided discuss unrelated topics, such as the kinematics of ionized and molecular gas in luminous infrared interacting galaxies and the unification model for Active Galactic Nuclei (AGN) in Seyfert galaxies. Consequently, there is no scientific consensus or description available for this specific object in the provided text.",The scientific significance of this object cannot be determined from the provided literature.,The literature provides no information regarding the visual appearance of this object.
ACS-GC 20042925,4000955139438,rG,,SIMBAD,0.0,34,2024ApJ...961..118K;2023A&A...673A..67G;2022ApJ...925...34C;2022ApJ...928..126S;2022A&A...664A.117D;2022ApJS..258...11W;2021ApJ...913..103D;2021ApJS..256...44V,"ACS-GC 20042925 is an entry in the COSMOS galaxy catalogs, which are used extensively in large-scale extragalactic surveys like LEGA-C, COSMOS-DASH, and COSMOS2020. These surveys utilize the COSMOS field to study the evolution of massive galaxies, star formation histories, and AGN activity at redshifts between 0.6 and 1.0. The object is part of a large dataset of galaxies used to analyze structural properties, dynamical masses, and stellar populations, rather than being the subject of an individual, targeted study.",This object is not individually notable in the provided literature; it is one of thousands of galaxies included in statistical samples used to characterize the broader galaxy population in the COSMOS field.,"The literature provides no specific information regarding the visual appearance of this object, as it is only mentioned as a data point within large-scale survey catalogs."
1RXS J172759.7+542146,4000723830874,Sy1,,SIMBAD,0.0,34,2024ApJ...963...30L;2022ApJS..259...37S;2021MNRAS.500.2871S;2020ApJ...897..111Z;2019MNRAS.487.1823L;2019ApJS..243...21L;2018AJ....155...17C;2018ApJS..235...40L,"1RXS J172759.7+542146 is classified as a Seyfert 1 galaxy, a type of active galactic nucleus characterized by broad emission lines in its optical spectrum. While it appears in large-scale statistical surveys of AGN populations—such as those analyzing SDSS DR7 data for broad-line AGN samples—there is no specific literature dedicated to the individual properties or unique characteristics of this object. It is generally studied only as a data point within broader catalogs of accreting supermassive black holes.",This object is not individually notable in the provided literature; it is simply one of many Seyfert 1 galaxies included in large-scale spectroscopic surveys used to study AGN demographics and black hole mass scaling relations.,"The literature provides no specific information regarding the visual appearance of this object, so it is unclear what features might have attracted the attention of an image-scoring model."
SDSS J100012.43+014057.8,4000972701959,QSO,,SIMBAD,31.0,33,2022ApJ...925...34C;2022ApJS..258...11W;2020ApJ...888...78S;2020ApJ...894...24K;2020ApJS..250....8L;2019ApJ...878...11Z;2018ApJS..239...22S;2017A&A...597A..79P,"SDSS J100012.43+014057.8 is a quasar identified within the Sloan Digital Sky Survey (SDSS) and COSMOS field datasets. It is included in large-scale catalogs used for statistical studies of active galactic nuclei (AGN), such as investigations into host galaxy properties, star formation rates, and AGN variability. There is no specific literature dedicated to this individual object, as it serves as one data point among many in broader extragalactic surveys.","This object is not individually notable in the provided literature; it is scientifically significant primarily as a member of large, uniform samples used to constrain models of galaxy evolution and AGN physics.",The provided literature does not contain information regarding the specific visual appearance of this object in Hubble imagery.
2MASS J09563645+6900280,4000838912058,QSO,,SIMBAD,13.0,32,2023MNRAS.524.1909J;2023ApJ...947...31H;2022A&A...657A.138T;2022ApJ...931..154R;2022A&A...657A.138T;2021MNRAS.505.1954Z;2020MNRAS.492..719T;2020ApJS..249...17R,"The provided literature does not contain specific information regarding the object 2MASS J09563645+6900280. The papers provided discuss general quasar populations, X-ray binary classification, and large-scale quasar catalogs (such as SDSS DR14), but they do not mention this specific identifier.",There is no information in the provided literature to suggest this object is scientifically notable or unusual.,"The literature provides no information regarding the appearance of this object, so it is impossible to speculate on what features might have caught the attention of an image-scoring model."
Cl* Westerlund    1      W       6a,4001450295566,s*b,,SIMBAD,0.0,32,2026A&A...708A.209C;2024A&A...682A..49G;2022A&A...660A..89R;2022A&A...664A.146N;2022MNRAS.516.1289N;2022A&A...660A..89R;2022A&A...664A.146N;2022MNRAS.516.1289N,"Westerlund 1 (Wd1) is one of the most massive and youngest star clusters in the Milky Way, serving as a critical laboratory for studying high-mass star evolution. It contains a dense population of massive stars, including numerous Wolf-Rayet stars and red supergiants, and has been the subject of extensive multi-wavelength surveys to determine its distance, age, and binary fraction. Recent studies have utilized Gaia astrometry, VLT spectroscopy, and Chandra X-ray data to characterize the cluster's members and resolve ongoing debates regarding its age and star-formation history.","Westerlund 1 is scientifically notable for being the most massive young star cluster in the Milky Way, providing a unique environment to observe the feedback and evolution of massive stars in a dense, starburst-like setting.","The literature does not provide specific details regarding the visual appearance of the individual star W 6a in Hubble imagery, though the cluster itself is known for its high density of massive, luminous stars and significant foreground extinction."
